"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"49ers","DST","SF",100029,,4.37683789142363,3.2,5.12516919351093,1.19658367586313,31,0.92655580750819,19,46,"23.6","4.3",2.5968459185448
"A.J. Derby","TE","NE",2552580,1991-09-20,0.652146844865505,0,1.34557236521139,0.84870109699469,80,0.0657260693303152,23,1,,,4.59248734429951
"A.J. Green","WR","CIN",2495450,1988-07-31,18.0759534271718,13.64,21.125007783245,3.1884067277922,4,0.102666071598097,2,5,,,7.23269074879732
"AJ McCarron","QB","CIN",2543497,1990-09-13,0.629921643323996,0,1.08962568807339,0.794455722150572,45,0.123221381886088,23,2,,,4.61779923549726
"Aaron Burbridge","WR","SF",2555362,1993-12-23,1.12280809989589,0.22963890935888,1.875775,0.850059665170293,147,0.0688449014379506,35,0,"117.3","2.4",2.97779362608809
"Aaron Dobson","WR","FA",2539256,1991-07-23,0,0,0,0,186,0,44,3,,,3.2238161073909
"Aaron Murray","QB","FA",2543587,1990-11-10,0,0,0,0,73,0,38,2,,,3.86028075587479
"Aaron Ripkowski","RB","GB",2552477,1992-12-20,0.388193619599515,0.02,0.797896836734694,0.457684206982088,125,0.0534622795847724,26,1,"82.7","4.5",4.50006670152117
"Aaron Rodgers","QB","GB",2506363,1983-12-02,20.5009185462786,18.372,21.2091056969729,1.01866526013995,4,0.559651562650025,4,11,"5.6","1.6",3.77565335015792
"Adam Humphries","WR","TB",2553895,1993-06-24,1.34748983993998,0,2.24778742702252,1.76399846360828,143,0.0493472254945715,35,1,,,5.44174164574775
"Adam Thielen","WR","MIN",2541785,1990-08-22,1.14247592847318,0,1.74149235474006,1.45428365239801,146,0.0456008979661309,35,2,,,5.05232838742465
"Adam Vinatieri","K","IND",2503471,1972-12-28,8.19711966502145,6.50976296871964,9.43743674569481,1.71552046986716,15,0.426742456117038,7,20,"5.9","3.7",4.43786335013717
"Adrian Peterson","RB","MIN",2507164,1985-03-21,6.81437414030261,0,9.23629664449857,7.36625924801217,43,0.482012676573304,11,9,,,13.9540795771693
"Ahmad Bradshaw","RB","FA",2495560,1986-03-19,0,0,0,0,141,0,31,9,,,3.20636812017905
"Albert Wilson","WR","KC",2550272,1992-07-12,5.02513429050599,2.3,5.93110481909846,1.35321577961567,97,0.197663830473546,28,2,"93.7","4.6",4.45911729634249
"Aldrick Robinson","WR","ATL",2495331,1988-09-24,2.02752634072613,0.26,2.9711367781155,1.08775233769872,129,0.0769339773936437,34,5,"94.9","5.9",4.65378394465489
"Alex Collins","RB","SEA",2555430,1994-08-26,1.08352733686067,0.15,2.11440129085519,0.946893868283588,104,0.0232231772840499,22,0,"79.3","3.3",3.53669652406612
"Alex Erickson","WR","CIN",2556519,1992-11-06,0.329646250691396,0,0.759752335922549,0.376704401634922,171,0.028198644098731,38,0,,,3.69745728681035
"Alex Henery","K","FA",2495162,1987-08-18,0,0,0,,34,0,13,5,,,
"Alex Smith","QB","KC",2506340,1984-05-07,17.6313327069092,13.2,19.3552005553679,2.2422451391639,13,0.540029131948838,9,11,"15.9","3.5",6.09486495215477
"Alex Tanney","QB","FA",2534870,1987-11-11,0,0,0,0,73,0,38,4,,,3.86028075587479
"Alfred Blue","RB","HOU",2543600,1991-04-27,4.1705563124556,2.45298833819242,5.89958867196633,2.33193816903963,64,0.101019016368767,15,2,"62.9","5.8",6.38400155623864
"Alfred Morris","RB","DAL",2533457,1988-12-12,4.03537831408411,1.45298833819242,5.35034862385321,2.6494346644052,66,0.038196183815848,15,4,"52.8","4.7",6.21380433272372
